Director,Appearances
Frank Darabont ,2
Francis Ford Coppola ,3
Christopher Nolan ,6
Sidney Lumet ,1
Steven Spielberg ,3
Peter Jackson ,3
Quentin Tarantino ,4
Sergio Leone ,3
David Fincher ,2
Robert Zemeckis ,2
Irvin Kershner ,1
Lana Wachowski ,1
Martin Scorsese ,2
Milos Forman ,2
Akira Kurosawa ,3
Jonathan Demme ,1
Fernando Meirelles ,1
Roberto Benigni ,1
Frank Capra ,1
George Lucas ,1
Hayao Miyazaki ,2
Bong Joon Ho ,1
Luc Besson ,1
Masaki Kobayashi ,1
Roman Polanski ,1
James Cameron ,2
Bryan Singer ,1
Alfred Hitchcock ,4
Roger Allers ,1
Charles Chaplin ,3
Tony Kaye ,1
Isao Takahata ,1
Damien Chazelle ,1
Ridley Scott ,2
Olivier Nakache ,1
Michael Curtiz ,1
Giuseppe Tornatore ,1
Florian Henckel von Donnersmarck ,1
Stanley Kubrick ,4
Billy Wilder ,2
Andrew Stanton ,1
Anthony Russo ,2
Bob Persichetti ,1
Park Chan-Wook ,1
Todd Phillips ,1
Makoto Shinkai ,1
Lee Unkrich ,1
Nadine Labaki ,1
Wolfgang Petersen ,1
Rajkumar Hirani ,1
John Lasseter ,1
Sam Mendes ,1
Mel Gibson ,1
Thomas Kail ,1
Gus Van Sant ,1
Richard Marquand ,1
Fritz Lang ,1
Elem Klimov ,1
Aamir Khan ,1
Orson Welles ,1
Thomas Vinterberg ,1
Darren Aronofsky ,1
Stanley Donen ,1
Michel Gondry ,1
